"Gene","AvgLogNormExpr","PctExpressing","NumCellsExpressing"
"Chrna4",0.144341415139049,9.35776337562052,5429
"Chrnb3",0.125189181198824,8.45973524544953,4908
"Chrna6",0.0993726845818082,6.92567567567568,4018
"Chrna7",0.0993356653272999,7.4600110314396,4328
"Chrnb2",0.0674012692285353,4.81246552675124,2792
"Chrna5",0.0218894133691352,1.64782129067843,956
"Chrna3",0.0200634945711517,1.51165195808053,877
"Chrnb1",0.0139815483620748,1.00834252619967,585
"Chrna9",0.00952315802747402,0.572255929398787,332
"Chrna2",0.00841351944917706,0.546400992829564,317
"Chrnb4",0.00366169607270914,0.258549365692223,150
"Chrng",0.00264802685147872,0.208563154991726,121
"Chrna1",0.00243848129124428,0.203392167677882,118
"Chrne",0.00105527552656436,0.0603281853281853,35
"Chrna10",0.0006430599185265,0.0499862107004964,29
"Chrnd",9.71783907308259e-05,0.00689464975179261,4
