"Channel","AvgUMI","PctExpr","NumCells","MeanUMI_inpos","MedianUMI_inpos","Channel_lower_est","Channel_upper_est"
"nAChR_α7",0.095232349696637,7.4600110314396,4328,1.27657116451017,1,2.55314232902033,4085.02772643253
"nAChR_α4β2",0.157025648097074,13.4359487038058,7795,1.1686978832585,1,2.337395766517,3739.8332264272
"nAChR_α6β2β3",0.259325013789304,16.6833287369002,9679,1.55439611530117,1,3.10879223060234,4974.06756896374
"AMPA",6.56972214561497,75.167195256481,43609,8.74014538283385,6,21.8503634570846,34960.5815313354
"NMDA",3.66342043574187,58.2821980143409,33813,6.28565936178379,5,15.7141484044595,25142.6374471352
"Kainate",4.15226833976838,73.9416712630998,42898,5.61559979486218,4,14.0389994871555,22462.3991794487
"GABAA",6.24901751241022,73.0539851075565,42383,8.55397211145966,6,17.1079442229193,27372.7107566709
"GlyR",0.893115692222829,43.3552813017099,25153,2.05999284379597,1,4.11998568759195,6591.97710014712
"P2X",0.163127413127402,14.0254412575841,8137,1.1630822170333,1,3.87694072344435,6203.10515751095
"ASIC",2.99598386651947,46.6130033094319,27043,6.4273564323485,3,21.4245214411617,34279.2343058587
"5HT3",0.000517098731384503,0.0499862107004964,29,1.03448275862069,1,2.06896551724138,3310.34482758621
