"Channel","AvgUMI","PctExpr","NumCells","MeanUMI_inpos","MedianUMI_inpos"
"nAChR_α7",0.095232349696637,7.4600110314396,4328,1.27657116451017,1
"nAChR_α4β2",0.157025648097074,13.4359487038058,7795,1.1686978832585,1
"nAChR_α6β2β3",0.259325013789304,16.6833287369002,9679,1.55439611530117,1
"AMPA",6.56972214561497,75.167195256481,43609,8.74014538283385,6
"NMDA",3.66342043574187,58.2821980143409,33813,6.28565936178379,5
"Kainate",4.15226833976838,73.9416712630998,42898,5.61559979486218,4
"GABAA",6.24901751241022,73.0539851075565,42383,8.55397211145966,6
"GlyR",0.893115692222829,43.3552813017099,25153,2.05999284379597,1
"P2X",0.163127413127402,14.0254412575841,8137,1.1630822170333,1
"ASIC",2.99598386651947,46.6130033094319,27043,6.4273564323485,3
"5HT3",0.000517098731384503,0.0499862107004964,29,1.03448275862069,1
