"Gene","AvgUMI","PctExpr","NumCells","MeanUMI_inpos","MedianUMI_inpos"
"Chrna1",0.00205115830115807,0.203392167677882,118,1.00847457627119,1
"Chrna2",0.00629136789851066,0.546400992829564,317,1.15141955835962,1
"Chrna3",0.016564396028681,1.51165195808053,877,1.0957810718358,1
"Chrna4",0.105763927192499,9.35776337562052,5429,1.13022656106097,1
"Chrna5",0.0190809431880856,1.64782129067843,956,1.15794979079498,1
"Chrna6",0.0849765581908428,6.92567567567568,4018,1.22697859631658,1
"Chrna7",0.095232349696637,7.4600110314396,4328,1.27657116451017,1
"Chrna9",0.00579150579150534,0.572255929398787,332,1.01204819277108,1
"Chrna10",0.000499862107005001,0.0499862107004964,29,1,1
"Chrnb1",0.0103419746276888,1.00834252619967,585,1.02564102564103,1
"Chrnb2",0.0512617209045788,4.81246552675124,2792,1.06518624641834,1
"Chrnb3",0.12308673469388,8.45973524544953,4908,1.45497147514262,1
"Chrnb4",0.00270615002757876,0.258549365692223,150,1.04666666666667,1
"Chrnd",6.89464975179525e-05,0.00689464975179261,4,1,1
"Chrne",0.000620518477661351,0.0603281853281853,35,1.02857142857143,1
"Chrng",0.00210286817429657,0.208563154991726,121,1.00826446280992,1
"Gabra1",0.379774544953123,24.601833976834,14273,1.543683878652,1
"Gabra2",0.391392029784881,21.4820049641478,12463,1.82195298082324,1
"Gabra3",0.189602868174298,14.626999448428,8486,1.29625265142588,1
"Gabra4",0.0957666850524001,7.85817705460563,4559,1.21868830883966,1
"Gabra5",0.068239795918365,5.73117760617761,3325,1.19067669172932,1
"Gabra6",0.000241312741312713,0.022407611693326,13,1.07692307692308,1
"Gabrb1",1.82806467181475,52.4527716492002,30431,3.48516315599223,3
"Gabrb2",0.550934225041363,26.3496276889134,15287,2.09086151632105,1
"Gabrb3",1.26909817981245,43.1415471594043,25029,2.94170761916182,2
"Gabrg1",0.0865106177606175,7.13251516822945,4138,1.21290478492025,1
"Gabrg2",0.391753998896873,25.6084528405957,14857,1.52978394023019,1
"Gabrg3",0.997638582460079,30.3347352454495,17599,3.28876640718221,2
"Gabrd",0.00143063982349699,0.1396166574738,81,1.02469135802469,1
"Gabre",0.00367140099283001,0.348179812465527,202,1.05445544554455,1
"Gabrq",0.0195980419194697,1.8150165471594,1053,1.07977207977208,1
"Gabrp",0.000379205736348633,0.0379205736348594,22,1,1
"Gabrr1",0.00129274682846134,0.129274682846111,75,1,1
"Gabrr2",0.0340423331494676,2.92333149476007,1696,1.16450471698113,1
"Gabrr3",0.00224076116933268,0.220628792057363,128,1.015625,1
"Glra1",0.116847076668504,8.24255377826806,4782,1.41760769552488,1
"Glra2",0.118484555984558,8.58556260341975,4981,1.38004416783778,1
"Glra3",0.212596525096524,13.3135686707115,7724,1.59684101501812,1
"Glra4",0.0136341698841695,1.33239106453392,773,1.02328589909444,1
"Glrb",0.431553364589083,30.5829426365141,17743,1.41109169813447,1
"Gria1",1.19730763927194,44.1050744622173,25588,2.71467093950291,2
"Gria2",2.41588527302819,59.1664368450083,34326,4.08320223737114,3
"Gria3",0.970818394925523,36.0883204633205,20937,2.69011797296649,2
"Gria4",1.9857108383894,55.8880308880309,32424,3.55301628423392,2
"Grik1",0.65631894649751,28.157749586321,16336,2.33086434867776,1
"Grik2",2.44661817429679,58.744139547711,34081,4.16487192277218,2
"Grik3",0.383635548814107,19.7186982901269,11440,1.94554195804196,1
"Grik4",0.407422090457805,26.0445394373966,15110,1.56432825943084,1
"Grik5",0.258273579702146,20.2737175951462,11762,1.27393300459106,1
"Grin1",0.460786679536678,28.1077633756205,16307,1.63935733120745,1
"Grin2a",1.27802675124106,35.5022752344181,20597,3.59984463756859,2
"Grin2b",1.74953461114171,48.6452013237728,28222,3.59652044504279,3
"Grin2c",0.0428157749586328,3.75068946497518,2176,1.14154411764706,1
"Grin2d",0.132256618863766,11.3847904026475,6605,1.16169568508706,1
"Grin3a",0.431656784335399,24.7517926089355,14360,1.74394150417829,1
"Grin3b",0.0055846662989525,0.542953667953668,315,1.02857142857143,1
"Htr3a",0.000258549365692268,0.0241312741312741,14,1.07142857142857,1
"Htr3b",0.000258549365692246,0.0258549365692223,15,1,1
"P2rx1",0.00146511307225617,0.127551020408163,74,1.14864864864865,1
"P2rx2",0.000654991726420323,0.0637755102040816,37,1.02702702702703,1
"P2rx3",0.00553295642581341,0.534335355763927,310,1.03548387096774,1
"P2rx4",0.100472283507998,8.96476833976834,5201,1.12074601038262,1
"P2rx5",0.0080839768339771,0.784266409266409,455,1.03076923076923,1
"P2rx6",0.00715319911748476,0.656715388858246,381,1.08923884514436,1
"P2rx7",0.0397648924434651,3.60762548262548,2093,1.10224558050645,1
"Asic1",0.0799607004964142,7.34107832322118,4259,1.08922282225875,1
"Asic2",2.89187465526759,43.7310397131826,25371,6.61286508218048,3
"Asic3",0.00482625482625451,0.477454495311638,277,1.01083032490975,1
"Asic4",0.0190292333149479,1.69608383894098,984,1.1219512195122,1
"Asic5",0.000293022614451214,0.0241312741312741,14,1.21428571428571,1
